id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876791613,Carl Braun on Communicating Like a Grown-Up,,Industrial genius Carl Braun believed that clear thinking and clear communication go hand in hand. Here the guide on writing productively to get things done.,https://fs.blog/carl-braun-communicating,my_library,"charisma, influence-persuasion, leadership, speaking, writing",2023-03-30T12:07:19.000Z,https://149664534.v2.pressablecdn.com/wp-content/uploads/2016/03/Productive-writing.png,,False
876790968,3 Rhetorical Techniques to Increase Your Impact,,"Technological advances in natural language processing, computational linguistics, and machine learning, combined with the digitization of everything from cover letters to conversations, have revolutionized our ability to analyze language, yielding unprecedented insights. Think of it as a new science of language. Many of the findings suggest that small changes in the words we use can increase our ability to persuade and influence others.",https://hbr.org/2023/03/3-rhetorical-techniques-to-increase-your-impact,my_library,"influence-persuasion, keywords-ppc-seo, language-linguistics, rhetoric, speaking, writing",2023-03-19T13:10:56.000Z,https://hbr.org/resources/images/article_assets/2023/02/Mar23_07_1151087791.jpg,,False
876787359,14 Persuasive Writing Techniques That Trigger A Response,,Here are 14 persuasive writing techniques that will make your website appeal to visitors and increase your conversion rates.,http://conversionsciences.com/blog/persuasive-writing-techniques,my_library,"behaviors, influence-persuasion, writing",2022-07-18T16:04:51.000Z,https://conversionsciences.com/wp-content/uploads/2017/01/Persuasion-technique-utilize-escalating-agreements.jpg,,False
876786514,How to Get Busy People to Take Action When You Send an Email,,"We all get a lot of email. And we send off scores of them, too. For important emails we hope for replies or action. If you do the math on the number of inbound emails you get multiplied by the time…",https://bothsidesofthetable.com/how-to-get-busy-people-to-take-action-when-you-send-an-email-779c432fc3cd#.d5mdfjv1o,my_library,"copywriting, email, influence-persuasion",2022-07-18T14:57:03.000Z,https://miro.medium.com/v2/resize:fit:506/1*NpqpX9Cv0AZTc0wsZv-hLA.png,,False
876785074,Ultimate Terms,,There are words which have special meaning within each culture and carry power where they are used.,http://changingminds.org/explanations/theories/ultimate_terms.htm,my_library,"behaviors, influence-persuasion, language-linguistics, writing",2022-06-25T18:24:20.000Z,,,False
876778510,The Six Keys to Positive Communication,,Communicating better can help you achieve your goals and deepen your relationships.,https://greatergood.berkeley.edu/article/item/the_six_keys_to_positive_communication,my_library,"influence-persuasion, speaking, writing",2021-04-30T10:46:13.000Z,https://ggsc.s3.us-west-2.amazonaws.com/assets/images/pexels-alexander-suhorucov-6457562_-_abcdef_-_6ae5e3fef5842e26e7a607b6eac020e814a8fa43-fb_-_abcdef_-_404233a83e7afbefa1b01d740929d77eb1e16b58.jpg,,False
876778508,How to | How to write cold emails to investors – lessons from 30 VCs,,Want to get your cold email to investors opened and read? Learn from the tips of some of the top VC investors.,https://www.flowrite.com/blog/cold-email-to-investors?ref=dxse48,my_library,"influence-persuasion, startups, writing",2021-04-30T09:34:52.000Z,https://cdn.prod.website-files.com/66dee03c52cb884df04b0ffc/66f1194191beb2c98cd43564_614501936c3ecb20d2b304c5_How%2520to%2520write%2520cold%2520emails%2520to%2520investors%2520-%2520Lessons%2520from%252030%2520VCs.avif,,False
876778450,These 7 phrases can help you sound more powerful at work - Fast Company,,"Sometimes, it really is what you say that makes a difference.",https://www.fastcompany.com/90623381/these-7-phrases-can-help-you-sound-more-powerful-at-work,my_library,"influence-persuasion, speaking, writing",2021-04-18T22:50:35.000Z,"https://images.fastcompany.com/image/upload/f_auto,q_auto,c_fit/wp-cms/uploads/2021/04/p-1-these-7-phrases-can-help-you-sound-more-powerful-at-work.jpg",,False
876776223,Memos,,,https://sriramk.com/memos,my_library,"influence-persuasion, leadership, writing",2020-11-03T01:57:42.000Z,,,False
876771834,How to Write Email with Military Precision,,A few tips on how to quickly and clearly relay information and avoid miscommunication.,https://getpocket.com/explore/item/how-to-write-email-with-military-precision,my_library,"influence-persuasion, writing",2019-08-24T21:36:52.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/https%3A%2F%2Fhbr.org%2Fresources%2Fimages%2Farticle_assets%2F2016%2F11%2Fnov16-22169984846.jpg,,False
