id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
876792829,The secret economics of the Birkin bag,,"On a flight from Paris to London in 1983 Jane Birkin, an Anglo-French chanteuse and actress, spilled the contents of her overstuffed straw...",https://businessday.ng/life-arts/article/the-secret-economics-of-the-birkin-bag,my_library,"behaviors, coolness-desire-envy, luxury, pricing, prodmgmt",2023-07-29T22:58:26.000Z,https://cdn.businessday.ng/2023/07/bag-1.png,,False
876787727,The Psychology of FOMO,,"One of the many unintended consequences of social media is what is popularly referred to as FOMO - fear of missing out. People see all the wonderful things people are doing and buying in their social media profiles, and fear that they are missing out on the good life, or the latest trend, or perhaps",https://theness.com/neurologicablog/index.php/the-psychology-of-fomo,my_library,"behaviors, coolness-desire-envy, fomo",2022-08-09T00:08:40.000Z,https://theness.com/neurologicablog/wp-content/uploads/sites/3/2022/08/Fear-of-Missing-Out.jpg,,False
876787406,The Four-Letter Code to Selling Just About Anything,,What makes things cool?,https://www.theatlantic.com/magazine/archive/2017/01/what-makes-things-cool/508772,my_library,"behaviors, coolness-desire-envy, sales-salesmgmt",2022-07-18T16:06:44.000Z,https://cdn.theatlantic.com/thumbor/_vYjVjeUQSGz9izBzy6-N5YTQ9o=/0x48:1999x1089/1200x625/media/img/2016/12/WEL_Thompson_Hitmakers1/original.jpg,,False
876787376,Why Is Art Expensive? - Priceonomics,,"How do you sell a six-figure painting? Branding and a heavily ""curated"" marketplace.",https://priceonomics.com/why-is-art-expensive,my_library,"behaviors, coolness-desire-envy, pricing, snobbery",2022-07-18T16:05:29.000Z,https://etzq49yfnmd.exactdn.com/wp-content/uploads/2022/03/800px-Graves_Art_Gallery_Sheffield.jpg?strip=all&lossy=1&ssl=1,,False
876787353,"From Forever 21 to Online Shopping, Why Fast Fashion Is So Addictive",,"Research shows that the brain finds pleasure in the pursuit of inexpensive things, and high-street chains and online retailers sites alike are cashing in.",https://www.theatlantic.com/entertainment/archive/2015/03/the-neurological-pleasures-of-modern-shopping/388577,my_library,"behaviors, coolness-desire-envy, ecommerce, fashion",2022-07-18T16:04:38.000Z,https://cdn.theatlantic.com/thumbor/3Rd5umoSKFjvcKWDmIT0zDPt13Y=/0x227:3000x1789/1200x625/media/img/mt/2015/03/Neurological/original.jpg,,False
876786706,The Psychology of a Fanboy: Why You Keep Buying the Same Stuff,,"None of us want to admit it, but chances are we're all fanboys of something. Whether it's a particular brand of software, gadget, or anything else, we",http://lifehacker.com/the-psychology-of-a-fanboy-why-you-keep-buying-the-sam-1300451596,my_library,"behaviors, coolness-desire-envy",2022-07-18T15:17:03.000Z,https://lifehacker.com/imagery/defaults/fallback-thumbnail.fill.size_1200x675.png,,False
876785193,Don’t Surround Yourself With Admirers,,"Instead, befriend people who inspire awe in you.",https://www.theatlantic.com/family/archive/2022/06/make-friends-you-admire-happiness/661245,my_library,"admiration, behaviors, coolness-desire-envy, emotions",2022-07-03T17:44:55.000Z,https://cdn.theatlantic.com/thumbor/2Mauhbbndvc0fIfEHZ5mdW5ftKo=/0x0:2995x1560/1200x625/media/img/mt/2022/06/HowToBuildALife97/original.jpg,,False
876785031,LinkedIn Learning Blog: Where Professionals Go to Learn,,"The LinkedIn Learning Blog is written for professionals by professionals. Discover courses, tips and information that can take your career to new heights.",https://learning.linkedin.com/blog/design-tips/how-to-manufacture-desire,my_library,"behaviors, coolness-desire-envy",2022-06-25T13:04:45.000Z,https://media.licdn.com/dms/image/v2/C4D08AQGu1Q5ZUgvaVg/croft-frontend-shrinkToFit1024/croft-frontend-shrinkToFit1024/0/1597764829081?e=2147483647&v=beta&t=FP6Af8l9yltmKjQX9qy2bQ3-2vAG33YQ4AVfe2hg4fg,,False
876779388,Why do we buy what we buy?,,A sociologist on why people buy too many things.,https://www.vox.com/the-goods/22547185/consumerism-competition-history-interview,my_library,"behaviors, coolness-desire-envy, ecommerce",2021-07-17T01:48:20.000Z,https://platform.vox.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/22702291/GettyImages_3228051t.jpg?quality=90&strip=all&crop=0%2C16.727604459637%2C100%2C66.544791080726&w=1200,,False
876772851,Why the Best Things in Life Are All Backwards,,The ability to let go of control when one wants it most is one of the most important skills anyone can develop.,https://getpocket.com/explore/item/why-the-best-things-in-life-are-all-backwards,my_library,"behaviors, coolness-desire-envy",2019-12-15T16:38:41.000Z,https://pocket-image-cache.com/1200x/filters:format(jpg):extract_focal()/https%3A%2F%2Fs3.amazonaws.com%2Fpocket-syndicated-images%2Farticles%2F888%2F1567023160_direct.jpg,,False
