id,title,note,excerpt,url,folder,tags,created,cover,highlights,favorite
881001704,Isomorphic-Table-Cards ·,,"Table and Cards views with animated transitions on sorting, switching view, and browser resizing (no dependencies, just vanilla Javascript, CSS, and HTML). - evoluteur/isomorphic-table-cards",https://github.com/evoluteur/isomorphic-table-cards,my_library,"css, ui-ux",2022-09-24T00:00:00.000Z,https://repository-images.githubusercontent.com/300770456/921dfb80-04f1-11eb-83c0-d33a39c00370,,False
881001381,Sanding UI,,Writing about the big beautiful mess that is making things for the world wide web.,https://blog.jim-nielsen.com/2024/sanding-ui,my_library,"ui-ux, css",2022-09-24T00:00:00.000Z,https://blog.jim-nielsen.com/assets/img/twitter-card.png,,False
876795294,Modern CSS Tooltips And Speech Bubbles (Part 1),,"Tooltips are a very common pattern used in CSS for years. There are a lot of ways to approach tooltips in CSS, though some evoke headaches with all the magic numbers they require. In this article, Temani Afif presents modern techniques to create tooltips with the smallest amount of markup and the greatest amount of flexibility.",https://www.smashingmagazine.com/2024/03/modern-css-tooltips-speech-bubbles-part1,my_library,"css, ui-ux",2024-03-01T23:23:36.000Z,https://files.smashing.media/articles/modern-css-tooltips-part1/modern-css-tooltips-speech-bubbles.jpg,,False
876792927,✨? An Eye-Catching Card with a nice Hover Effect using HTML and SCSS,,A post by Smit Prajapati,https://dev.to/smitprajapati/an-eye-catching-card-with-a-nice-hover-effect-using-html-and-scss-mj1,my_library,"css, html, ui-ux, webdev",2023-08-15T18:55:42.000Z,"https://media2.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fxuc4lfuypd0f5b1i4y2j.jpg",,False
876791585,8 Amazing Metallic Effects Built With CSS and JavaScript,,"Create realistic metallic effects with these CSS and JavaScript code snippets. Create metallic text, buttons, backgrounds, and more.",https://speckyboy.com/metallic-effects-css-javascript,my_library,"css, ui-ux, webdev",2023-03-26T22:19:40.000Z,https://speckyboy.com/wp-content/uploads/2023/03/metallic-effect-snippets-thumb.jpg,,False
876790962,Say Goodbye to Boring Dropdowns: Create Custom Dropdown Menus with Headless UI,,"Creating a website is no small feat. It requires careful planning, strategic design, and thoughtful...",https://dev.to/nitinfab/say-goodbye-to-boring-dropdowns-create-custom-dropdown-menus-with-headless-ui-1p5b,my_library,"css, ui-ux, webdev",2023-03-19T11:49:43.000Z,"https://media2.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fhuyba9irci3q3mntas3d.jpg",,False
876790755,Articles — Smashing Magazine,,"Smashing Magazine — front-end, UX and design for front-end engineers and designers",https://www.smashingmagazine.com/articles,my_library,"browsers, css, html, svg, ui-ux, webdev",2023-02-22T00:13:58.000Z,,,False
876790703,76 CSS Cards,,"Welcome to our collection of CSS cards! In this comprehensive compilation, we have gathered a wide range of free HTML and CSS card code examples from various reputable sources, including CodePen, GitHub, and other valuable resources.",https://freefrontend.com/css-cards,my_library,"css, ui-ux, webdev",2023-02-15T02:01:05.000Z,https://freefrontend.com//assets/img/css-cards/thumb.jpg,,False
876790651,Visual design rules you can safely follow every time,,,https://anthonyhobday.com/sideprojects/saferules,my_library,"css, design, ui-ux, webdev",2023-02-07T22:09:49.000Z,,,False
876789598,5 CSS Card Design Ideas!,,"Disclaimer: There is a video version of this tutorial, watch it here  Here are 5 card designs, with...",https://dev.to/youngmamba/5-css-card-design-ideas-4g5b,my_library,"cards, css, ui-ux",2022-11-30T23:05:25.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Fh5letgivyisytm579w1q.png",,False
876788817,Pokemon Cards Holo effect v2,,,https://codepen.io/simeydotme/pen/abYWJdX,my_library,"cards, css, ui-ux",2022-10-27T14:15:11.000Z,https://assets.codepen.io/13471/internal/screenshots/pens/abYWJdX.custom.png?version=1686899428,,False
876784832,The World's Most Satisfying Checkbox | !Boring Software,,The Art of Game Feel (a.k.a Juice) in Product Design,https://www.andy.works/words/the-most-satisfying-checkbox,my_library,"css, design-patterns, ui-ux",2022-06-21T19:20:13.000Z,https://cdn.prod.website-files.com/5f52cb73016fed9a30bb4d95/62955c8bdc82371283f7ae65_play3.jpg,,False
876784818,6 In-demand Marketing Skills for Your Design CV,,"In today’s tech-savvy world, being a great designer is not all about being a whiz at tools such as Adobe Photoshop and Adobe Illustrator. The job is",https://www.noupe.com/inspiration/in-demand-marketing-skills-for-your-design-cv.html,my_library,"css, design, design-patterns, fonts-typography, keywords-ppc-seo, programming, ui-ux, webdev",2022-06-21T13:48:58.000Z,https://www.noupe.com/wp-content/uploads/2022/06/amy-hirschi-JaoVGh5aJ3E-unsplash.jpg,,False
876782886,8 CSS & JavaScript Snippets for Creating Cool Card UI Hover Effects,,"From bold transformations to simple highlights, we share some fantastic CSS & JavaScript card UI hover effect snippets.",https://speckyboy.com/css-javascript-card-ui-hover-effects,my_library,"css, javascript, ui-ux, webdev",2022-03-23T21:04:35.000Z,https://speckyboy.com/wp-content/uploads/2022/02/card-hover-effects-thumb.jpg,,False
876782554,How to design better buttons,,"A button is an interactive element that results in the action described on it. If it says “save” on a button, clicking it will most likely “save” something. It’s also one of the most important interactive elements of any digital product. It",https://thenextweb.com/syndication/2019/12/23/how-to-design-better-buttons,my_library,"css, design, ui-ux",2022-01-29T20:14:59.000Z,https://img-cdn.tnwcdn.com/image/tnw-blurple?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F12%2FCopy-of-Copy-of-Copy-of-Copy-of-Copy-of-Copy-of-...-5.png&signature=5f758f534c41b1a833cfb11cfe4d53f7,,False
876782549,Weber’s Law - NeuroLogica Blog,,"I confess I have never heard (or at least don't remember ever hearing) about Weber's Law (pronouned vayber) until reading about it with this news item. It is the Law of Just Noticeable Differences. It deals with the minimum difference in a stimulus necessary to notice. While clearly established, and there are many hypotheses to",https://theness.com/neurologicablog/index.php/webers-law,my_library,"css, design, neurology, ui-ux",2022-01-29T20:14:51.000Z,https://theness.com/neurologicablog/wp-content/uploads/sites/3/2019/08/weberplot.gif,,False
876782509,Responsive Images - A Reference Guide from A to Z,,"Chapter 1 - What is responsive images?   In this guide, we will learn everything related to...",https://dev.to/manu4543/responsive-images-a-reference-guide-from-a-to-z-30aa,my_library,"css, html, ui-ux",2022-01-29T20:13:10.000Z,https://dev-to-uploads.s3.amazonaws.com/uploads/articles/3otvb2z646ytpt1hl2rv.jpg,,False
876782262,W3Schools.com,,"W3Schools offers free online tutorials, references and exercises in all the major languages of the web. Covering popular subjects like HTML, CSS, JavaScript, Python, SQL, Java, and many, many more.",https://www.w3schools.com/howto/howto_css_tooltip.asp,my_library,"css, ui-ux",2022-01-17T21:19:49.000Z,https://www.w3schools.com/images/w3schools_logo_436_2.png,,False
876782239,"Front-End Performance Checklist 2021 (PDF, Apple Pages, MS Word) — Smashing Magazine",,"Let’s make 2021... fast! An annual front-end performance checklist, with everything you need to know to create fast experiences on the web today, from metrics to tooling and CSS/JavaScript techniques.",https://www.smashingmagazine.com/2020/01/front-end-performance-checklist-2020-pdf-pages,my_library,"css, html, ui-ux, webdev",2022-01-17T21:18:47.000Z,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/08a226c5-5a9a-4bd2-bba7-dad7e74f69e9/adaptive-media-serving-opt.png,,False
876782236,Web Layout Best Practices – 12 Timeless UI Patterns | Toptal®,,What makes a web UI pattern timeless? Adherence to web layout best practices that result in a combination of user-friendliness and adaptability to changing trends and technology. #design #ui #design #ux #web #product,https://www.toptal.com/designers/ui/web-layout-best-practices,my_library,"css, ui-ux",2022-01-17T21:18:42.000Z,https://bs-uploads.toptal.io/blackfish-uploads/components/open_graph_image/8958394/og_image/optimized/image_25-8e14344af822268a3f268422a16528ed.png,,False
876782210,https://yangshun.github.io/front-end-interview-handbook/,,,https://yangshun.github.io/front-end-interview-handbook,my_library,"css, html, ui-ux",2022-01-17T21:17:22.000Z,,,False
876782196,"Front-End Performance Checklist 2021 (PDF, Apple Pages, MS Word) — Smashing Magazine",,"Let’s make 2021... fast! An annual front-end performance checklist, with everything you need to know to create fast experiences on the web today, from metrics to tooling and CSS/JavaScript techniques.",https://www.smashingmagazine.com/2019/01/front-end-performance-checklist-2019-pdf-pages,my_library,"css, html, javascript, ui-ux, webdev",2022-01-17T21:16:29.000Z,https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/08a226c5-5a9a-4bd2-bba7-dad7e74f69e9/adaptive-media-serving-opt.png,,False
876782051,Bootcards - Nền tảng Framework UI dạng card dựa trên Bootstrap,,Bootcards- UI Framework được xây dựng dựa với mục đích áp dụng những template dạng thẻ cho các yếu tố thành phần của thiết kế website,http://bootcards.org,my_library,"css, ui-ux",2022-01-16T22:43:33.000Z,,,False
876782017,7 Practical Tips for Cheating at Design,,Improving your designs with tactics instead of talent.,https://medium.com/refactoring-ui/7-practical-tips-for-cheating-at-design-40c736799886,my_library,"css, fonts-typography, ui-ux, webdev",2022-01-16T19:17:59.000Z,https://miro.medium.com/v2/resize:fit:1200/1*2YuCOOCjdMEJxg-Lb6G2FA.png,,False
876781869,5 UX Tricks You Must Know in 2022,,Do you have what it takes to be an outstanding UX Developer in 2022? Add these tricks to your arsenal...,https://dev.to/ruppysuppy/5-ux-tricks-you-must-know-in-2022-5b2l,my_library,"css, ui-ux, webdev",2022-01-09T12:30:33.000Z,"https://media.dev.to/dynamic/image/width=1000,height=500,fit=cover,gravity=auto,format=auto/https%3A%2F%2Fdev-to-uploads.s3.amazonaws.com%2Fuploads%2Farticles%2Flk7ph9gnu79ly26vfhoh.png",,False
876779371,HTML Line Spacing: The Fine Line Between Good and Bad UX Design,,HTML line spacing matters in UX design. Read all you need to know about line height and how it can help your UX.,https://www.uxpin.com/studio/blog/hmtl-line-spacing-good-bad,my_library,"css, design, ui-ux",2021-07-13T12:48:34.000Z,https://studio.uxpincdn.com/studio/wp-content/uploads/2021/07/HTML-Line-Spacing.png.webp,,False
